Country,Year,PovertyHCR,LifeExpectancy,Population,PopulationGrowth,NetMigration,GDP,GDPGrowth,Unemployment,Inflation,ReceivedRemittances,AccessElectricity,CO2Emissions,SanitationServices,InternetUsage,ForeignDirectInvestment,StuntingPrevalence
Fiji,2002,1.7,66,"849,891",1,"-6,349","1,830,000,000",3.2,4.8,0.8,5.4,79.6,1,43,6,1.7,.
Fiji,2008,1,67,"896,731",0.7,"-9,625","3,520,000,000",1,4.2,7.7,4.2,86.2,1,46,13,19.3,.
Fiji,2013,0.4,67,"913,453",0.3,"-11,000","4,190,000,000",4.7,4.4,2.9,4.9,91.8,1.2,47,35,5.8,8.3
Fiji,2019,1.3,68,"918,465",-0.1,"-11,865","5,440,000,000",-0.6,4.4,1.8,5.3,96.1,1.5,49,77,5.9,7.2
Kiribati,2002,.,65,"92,400",2,-131,"72,197,909",3.8,.,.,.,59,0.5,18,3,0.3,.
Kiribati,2008,.,65,"103,966",1.9,-411,"141,045,213",-2.1,.,13.7,10.2,69.4,0.6,22,7,-0.9,.
Kiribati,2013,.,66,"113,311",1.5,-955,"184,543,121",4.2,.,-1.5,9.3,78.8,0.6,23,12,0.5,15.9
Kiribati,2019,1.7,67,"124,241",1.6,-691,"175,181,629",-2.2,.,-1.8,11.5,89.3,0.6,24,43,-0.3,15
Marshall Islands,2002,.,64,"54,596",0.2,"-1,532","131,738,200",3.7,.,.,.,71.5,2.1,.,2,0.6,.
Marshall Islands,2008,.,63,"53,816",-0.4,"-1,641","145,969,100",-7.6,.,.,15.8,80.2,2.5,.,5,3.9,.
Marshall Islands,2013,.,63,"51,352",-1.6,"-1,901","185,468,000",3.6,.,.,13.2,90.9,2.8,.,14,17.5,.
Marshall Islands,2019,0.9,65,"44,728",-2.8,"-1,901","231,996,704",10.4,.,.,14,96.8,3.4,.,.,2.2,.
Micronesia,2002,.,69,"111,992",0,"-2,816","245,432,900",0.5,.,-0.1,.,50.1,1.4,.,6,.,.
Micronesia,2008,.,71,"108,704",-0.8,"-3,069","263,145,100",-2.4,.,8.4,0,60.5,1.1,.,14,.,.
Micronesia,2013,16,71,"108,609",0.3,"-1,561","317,214,400",-3.7,.,1.8,7,69.4,1.3,.,28,0,.
Micronesia,2019,.,71,"111,379",0.4,"-1,283","416,000,000",1.2,.,1.9,5.6,80.1,1.3,.,40,.,.
Nauru,2002,.,58,"10,351",-0.1,-219,.,.,.,.,.,99,7.5,.,.,.,.
Nauru,2008,.,59,"10,243",-0.2,-263,.,65,.,.,.,99.1,4.1,.,.,.,.
Nauru,2013,.,61,"10,694",2.4,-34,"94,385,015",4.5,.,.,11.3,99.4,4.4,.,.,.,.
Nauru,2019,.,63,"12,132",1.7,-107,"125,160,116",8.3,.,.,.,100,4.4,.,75,.,.
Palau,2002,.,.,"19,851",0.1,-78,"163,184,900",3.6,.,-1.3,.,98,10.9,.,20,1.2,.
