Date,Team,Opponent,Place,Position,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,L10 GP,L10 MIN,L10 FG%,L10 3P%,L10 FT%,L10 REB,L10 AST,L10 BLK,L10 STL,L10 PF,L10 TO,L10 PTS,VsOpp GP,VsOpp MIN,VsOpp FG%,VsOpp 3P%,VsOpp FT%,VsOpp REB,VsOpp AST,VsOpp BLK,VsOpp STL,VsOpp PF,VsOpp TO,VsOpp PTS,Place GP,Place MIN,Place FG%,Place 3P%,Place FT%,Place REB,Place AST,Place BLK,Place STL,Place PF,Place TO,Place PTS,Points O/U line,PRA O/U line,Actual Points,Actual PRA,Points Result,PRA Result
2/23/2023,CLE,DEN,Home,SG,Donovan Mitchell,26,50,50,35.5,9.5,19.8,48,3.6,9.4,38.7,5.9,10.4,56.3,57.2,4.7,5.3,87.3,0.9,3.1,4.1,4.9,1.5,0.4,2.7,2.3,27.3,23,61.6,0.475,0.27,3.2,10.3,6.8,23.5,2.1,1,11,31.4,4.2,2.7,6.8,0.185,5.8,0.8,6.6,3.8,9,32.6,47.5,34.2,90,4.4,5,0.6,1.4,1.3,2,22.9,,,,,,,,,,,,,25,35.1,48.1,41.2,84.9,3.8,5.2,0.6,1.6,2.4,2.6,27,27.5,36.5,22,28,Under,Under
2/23/2023,CLE,DEN,Home,PG,Darius Garland,23,51,51,35.2,7.5,16.1,46.8,2.5,6.1,41.9,5,10,49.7,54.7,4.2,4.8,86.2,0.4,2.3,2.7,8,1.3,0.1,3,2.2,21.7,19.7,59.8,0.379,0.302,1.5,7.6,4.6,35.6,1.8,0.3,14,27,3.9,2.3,6.2,0.167,3.7,-0.5,3.3,2.4,9,31.3,58.8,53.2,83.3,2,7.1,0,0.8,2.9,3,20.4,1,33,40,16.7,66.7,4,8,0,0,3,1,21,25,35.8,50.7,44.4,91.1,2.5,8.4,0.1,1.3,2.2,3.5,24.4,22.5,33.5,22,28,Under,Under
2/23/2023,CLE,DEN,Home,PF,Evan Mobley,21,59,59,34.2,6.5,11.7,55.1,0.2,1.2,19.4,6.2,10.5,59.3,56.2,2.6,3.7,69.4,2.4,6.5,8.9,2.7,0.8,1.4,2,2.8,15.7,17.2,58.9,0.104,0.317,8.3,22.4,15.4,11.9,1.1,3.7,13.2,20.2,2.4,3.6,6,0.142,-0.5,1.6,1.1,1.5,10,33.5,52.9,20,68.4,9,2.8,1.6,1.1,3.1,1.4,17.7,1,34,46.2,0,0,9,4,3,1,4,1,12,30,34.3,56.2,21.6,69.3,8.8,2.8,1,0.7,2.8,2.1,14.9,17.5,29.5,31,41,Over,Over
2/23/2023,CLE,DEN,Home,C,Jarrett Allen,24,54,54,33.3,6.1,9.4,65.5,0,0.1,12.5,6.1,9.2,66.3,65.6,2.4,3.3,71.7,3.2,6.7,9.9,1.7,0.8,1.2,1.5,2.3,14.7,20,67.7,0.016,0.355,11.5,23.4,17.5,7.6,1.2,3.4,12.1,16.6,4.4,3.3,7.7,0.206,1.3,1.1,2.4,2,10,33.5,73.1,100,72.4,10.6,1.9,1.3,0.8,2.5,2,18,1,36,36.4,0,62.5,9,1,1,1,2,1,13,28,34.1,66.4,20,70.8,10.5,1.6,1.3,0.9,2.3,1.9,14.9,14.5,27.5,14,29,Under,Over
2/23/2023,CLE,DEN,Home,SF,Isaac Okoro,22,61,31,21.2,2.3,4.7,48.9,0.8,2.2,34.6,1.5,2.4,62.2,57.2,1,1.4,73.5,0.6,1.9,2.5,1.1,0.7,0.4,0.6,1.9,6.3,10.8,60.2,0.479,0.292,3.6,10.5,7.1,7.3,1.7,1.9,10.3,12.4,1.3,1.9,3.2,0.119,-1.9,1.7,-0.2,0.6,10,26.5,54.2,38.7,80,2.4,2.1,0.5,0.6,1.7,0.8,8.8,1,17,20,0,50,5,2,0,2,1,1,3,31,21.2,49,32.5,71.1,2.5,1.3,0.5,0.7,1.9,0.5,6.3,7.5,11.5,2,5,Under,Under
2/23/2023,IND,BOS,Home,PG,Tyrese Haliburton,22,48,48,33.4,7.2,15,48.1,2.9,7.2,39.9,4.3,7.8,55.6,57.7,2.6,3.1,86.4,0.7,3.1,3.8,10.1,1.8,0.4,2.6,1.2,19.9,22.7,61,0.482,0.205,2.2,10.2,6.2,47.1,2.5,1,13.9,23.7,4.7,1.4,6.1,0.182,6.3,0.5,6.7,3.6,8,33.5,48.2,40,77.3,2.8,9.3,0.4,1.8,1.5,2.6,18.4,1,34,50,46.2,75,3,8,0,1,0,2,33,28,33.2,48.6,40,87.6,3.5,10.5,0.4,1.8,1.5,2.5,20,19.5,31.5,22,37,Over,Over
2/23/2023,IND,BOS,Home,SG,Buddy Hield,30,60,60,32,6.2,13.7,45.3,3.8,9,42.6,2.4,4.7,50.5,59.3,1.3,1.5,87,0.9,4.1,4.9,2.7,1.1,0.3,1.9,2,17.5,15.2,61.2,0.659,0.112,3,14,8.5,12.9,1.7,0.9,11.5,21.2,1.9,1.4,3.4,0.084,2.5,-0.6,1.8,1.9,10,32.3,48,43.3,84.6,4.9,2.6,0.2,1.3,2.3,1.8,17,1,30,42.9,66.7,0,5,5,1,1,1,1,8,32,31.7,46.6,42.1,90.5,4.9,2.2,0.4,1.2,2.1,1.8,17.9,15.5,22.5,18,25,Over,Over
2/23/2023,IND,BOS,Home,C,Myles Turner,26,50,50,29.8,6.2,11.7,53.5,1.6,4.1,38,4.7,7.6,61.9,60.2,3.5,4.5,78.5,1.6,6.4,8,1.3,0.6,2.3,1.6,3.3,17.5,19.9,64.4,0.352,0.383,5.8,23.7,14.7,6.9,1,6.9,10.6,21.4,2.7,1.9,4.6,0.149,1.4,0.8,2.2,1.6,9,29.4,49.1,32.6,84.8,8,1,2.2,0.6,4,1.6,18.3,1,27,50,50,100,6,3,0,1,4,2,10,26,31.1,54.3,36.6,79.4,8.2,1.3,2.3,0.7,3.5,1.3,19.5,17.5,26.5,40,52,Over,Over
2/23/2023,IND,BOS,Home,SF,Aaron Nesmith,23,53,41,24.5,3.4,8,41.8,1.5,4.3,35.7,1.8,3.8,48.7,51.3,1.6,1.8,86.6,0.8,2.9,3.8,1.2,0.8,0.4,0.9,3.4,9.8,10.2,55.6,0.533,0.228,3.6,13.2,8.4,7,1.5,1.6,9.5,16.7,0.6,1,1.6,0.057,-2.5,-0.3,-2.8,-0.3,10,29.8,47.8,40.7,87,4,1.4,0.4,0.8,3.8,0.7,12.8,1,28,46.2,20,100,6,3,0,2,5,1,15,29,25.9,44.2,39.1,89.8,4.3,1.3,0.7,0.7,3.3,1,11,10.5,15.5,9,14,Under,Under
2/23/2023,IND,BOS,Home,SG,Bennedict Mathurin,20,60,6,28.2,5.5,12.7,42.9,1.4,4.3,31.9,4.1,8.4,48.5,48.3,4.9,6,82.9,1.1,3,4.1,1.4,0.6,0.1,1.8,2,17.2,13.6,56.1,0.341,0.468,4.3,11.7,8,7.6,1,0.3,10.7,25.5,0.9,0.8,1.7,0.048,-0.8,-2.4,-3.3,-0.5,10,27,45.2,28.6,90.2,4.4,1.4,0.1,0.7,1.6,2.1,15.1,1,24,33.3,25,0,4,0,0,1,2,1,7,32,28.7,46.9,36.6,82.3,4.5,1.3,0.2,0.6,1.8,2.2,18,14.5,20.5,19,30,Over,Over
